customer_id,name,email,region,country,city,segment,is_active,created_at
1,Customer 1,c1@clean.example,Süd,DE,München,midmarket,true,2025-01-02
2,Customer 2,c2@clean.example,West,DE,Köln,enterprise,true,2025-01-03
3,Customer 3,c3@clean.example,Ost,DE,Berlin,public,true,2025-01-04
4,Customer 4,c4@clean.example,Export,DE,Stuttgart,smb,true,2025-01-05
5,Customer 5,c5@clean.example,Nord,DE,Leipzig,midmarket,true,2025-01-06
6,Customer 6,c6@clean.example,Süd,DE,Frankfurt,enterprise,true,2025-01-07
7,Customer 7,c7@clean.example,West,DE,Hamburg,public,true,2025-01-08
8,Customer 8,c8@clean.example,Ost,DE,München,smb,true,2025-01-09
9,Customer 9,c9@clean.example,Export,DE,Köln,midmarket,true,2025-01-10
10,Customer 10,c10@clean.example,Nord,DE,Berlin,enterprise,true,2025-01-11
11,Customer 11,c11@clean.example,Süd,DE,Stuttgart,public,false,2025-01-12
12,Customer 12,c12@clean.example,West,DE,Leipzig,smb,true,2025-01-13
13,Customer 13,c13@clean.example,Ost,DE,Frankfurt,midmarket,true,2025-01-14
14,Customer 14,c14@clean.example,Export,DE,Hamburg,enterprise,true,2025-01-15
15,Customer 15,c15@clean.example,Nord,DE,München,public,true,2025-01-16
16,Customer 16,c16@clean.example,Süd,DE,Köln,smb,true,2025-01-17
17,Customer 17,c17@clean.example,West,DE,Berlin,midmarket,true,2025-01-18
18,Customer 18,c18@clean.example,Ost,DE,Stuttgart,enterprise,true,2025-01-19
19,Customer 19,c19@clean.example,Export,DE,Leipzig,public,true,2025-01-20
20,Customer 20,c20@clean.example,Nord,DE,Frankfurt,smb,true,2025-01-21
21,Customer 21,c21@clean.example,Süd,DE,Hamburg,midmarket,true,2025-01-22
22,Customer 22,c22@clean.example,West,DE,München,enterprise,false,2025-01-23
23,Customer 23,c23@clean.example,Ost,DE,Köln,public,true,2025-01-24
24,Customer 24,c24@clean.example,Export,DE,Berlin,smb,true,2025-01-25
25,Customer 25,c25@clean.example,Nord,DE,Stuttgart,midmarket,true,2025-01-26
26,Customer 26,c26@clean.example,Süd,DE,Leipzig,enterprise,true,2025-01-27
27,Customer 27,c27@clean.example,West,DE,Frankfurt,public,true,2025-01-28
28,Customer 28,c28@clean.example,Ost,DE,Hamburg,smb,true,2025-01-29
29,Customer 29,c29@clean.example,Export,DE,München,midmarket,true,2025-01-30
