user_id,company_id,email,role,is_active,created_at
1,1,user1@saas.example,admin,true,2023-02-02
2,2,user2@saas.example,admin,true,2023-02-03
3,3,user3@saas.example,admin,true,2023-02-04
4,4,user4@saas.example,member,true,2023-02-05
5,5,user5@saas.example,member,true,2023-02-06
6,6,user6@saas.example,admin,true,2023-02-07
7,7,user7@saas.example,member,true,2023-02-08
8,8,user8@saas.example,admin,true,2023-02-09
9,9,user9@saas.example,admin,true,2023-02-10
10,10,user10@saas.example,billing,true,2023-02-11
11,11,user11@saas.example,member,true,2023-02-12
12,12,user12@saas.example,member,true,2023-02-13
13,13,user13@saas.example,member,false,2023-02-14
14,14,user14@saas.example,billing,true,2023-02-15
15,15,user15@saas.example,billing,true,2023-02-16
16,16,user16@saas.example,billing,true,2023-02-17
17,17,user17@saas.example,admin,true,2023-02-18
18,18,user18@saas.example,admin,true,2023-02-19
19,19,user19@saas.example,admin,true,2023-02-20
20,20,user20@saas.example,member,true,2023-02-21
21,21,user21@saas.example,admin,true,2023-02-22
22,22,user22@saas.example,member,true,2023-02-23
23,23,user23@saas.example,billing,true,2023-02-24
24,24,user24@saas.example,admin,true,2023-02-25
25,25,user25@saas.example,member,true,2023-02-26
26,26,user26@saas.example,billing,false,2023-02-27
27,27,user27@saas.example,member,true,2023-02-28
28,28,user28@saas.example,admin,true,2023-03-01
29,29,user29@saas.example,member,true,2023-03-02
30,30,user30@saas.example,admin,true,2023-03-03
31,31,user31@saas.example,member,true,2023-03-04
32,32,user32@saas.example,member,true,2023-03-05
33,33,user33@saas.example,admin,true,2023-03-06
34,34,user34@saas.example,member,true,2023-03-07
35,35,user35@saas.example,member,true,2023-03-08
36,36,user36@saas.example,admin,true,2023-03-09
37,37,user37@saas.example,billing,true,2023-03-10
38,38,user38@saas.example,admin,true,2023-03-11
39,39,user39@saas.example,admin,false,2023-03-12
40,40,user40@saas.example,member,true,2023-03-13
41,41,user41@saas.example,member,true,2023-03-14
42,42,user42@saas.example,member,true,2023-03-15
43,43,user43@saas.example,billing,true,2023-03-16
44,44,user44@saas.example,billing,true,2023-03-17
45,45,user45@saas.example,admin,true,2023-03-18
46,46,user46@saas.example,admin,true,2023-03-19
47,47,user47@saas.example,admin,true,2023-03-20
48,48,user48@saas.example,billing,true,2023-03-21
49,49,user49@saas.example,billing,true,2023-03-22
50,50,user50@saas.example,admin,true,2023-03-23
51,51,user51@saas.example,member,true,2023-03-24
52,52,user52@saas.example,member,false,2023-03-25
53,53,user53@saas.example,billing,true,2023-03-26
54,54,user54@saas.example,billing,true,2023-03-27
55,55,user55@saas.example,billing,true,2023-03-28
56,56,user56@saas.example,billing,true,2023-03-29
57,57,user57@saas.example,member,true,2023-03-30
